PSIS_REFYEAR_D_CODE,PSIS_PROVOFSTUDY_CODE,PSIS_PRGCODECIP6_D_CODE,PSIS_PCSCE_D_CODE,PSIS_GENDER_CODE,_COUNT_
,35,27.0502,86,2,80
,35,27.0599,,,20
,35,27.0599,,1,15
,35,27.0599,,2,5
,35,27.0599,66,,20
,35,27.0599,66,1,15
,35,27.0599,66,2,5
,35,27.0599,76,,0
,35,27.0599,76,1,0
,35,27.0599,76,2,0
,35,27.0599,86,,0
,35,27.0599,86,1,0
,35,27.0599,86,2,0
,35,27.9999,,,30
,35,27.9999,,1,20
,35,27.9999,,2,10
,35,27.9999,66,,30
,35,27.9999,66,1,20
,35,27.9999,66,2,10
,35,27.9999,76,,0
,35,27.9999,76,1,0
,35,27.9999,76,2,0
,35,27.9999,86,,0
,35,27.9999,86,1,0
,35,27.9999,86,2,0
,35,52.1302,,,25
,35,52.1302,,1,15
,35,52.1302,,2,10
,35,52.1302,66,,25
,35,52.1302,66,1,15
,35,52.1302,66,2,10
,35,52.1302,76,,0
,35,52.1302,76,1,0
,35,52.1302,76,2,0
,35,52.1302,86,,0
,35,52.1302,86,1,0
,35,52.1302,86,2,0
,46,,,,545
,46,,,1,270
,46,,,2,275
,46,,66,,300
,46,,66,1,150
,46,,66,2,150
,46,,76,,130
,46,,76,1,65
,46,,76,2,65
,46,,86,,115
,46,,86,1,55
,46,,86,2,60
,46,26.1102,,,0
,46,26.1102,,1,0
,46,26.1102,,2,0
,46,26.1102,66,,0
,46,26.1102,66,1,0
,46,26.1102,66,2,0
,46,26.1102,76,,0
,46,26.1102,76,1,0
,46,26.1102,76,2,0
,46,26.1102,86,,0
,46,26.1102,86,1,0
,46,26.1102,86,2,0
,46,27.0501,,,540
,46,27.0501,,1,265
,46,27.0501,,2,275
,46,27.0501,66,,295
,46,27.0501,66,1,145
,46,27.0501,66,2,150
,46,27.0501,76,,130
,46,27.0501,76,1,65
,46,27.0501,76,2,65
,46,27.0501,86,,115
,46,27.0501,86,1,55
,46,27.0501,86,2,60
,46,27.0502,,,5
,46,27.0502,,1,5
,46,27.0502,,2,0
,46,27.0502,66,,5
,46,27.0502,66,1,5
,46,27.0502,66,2,0
,46,27.0502,76,,0
,46,27.0502,76,1,0
,46,27.0502,76,2,0
,46,27.0502,86,,0
,46,27.0502,86,1,0
,46,27.0502,86,2,0
,46,27.0599,,,0
,46,27.0599,,1,0
,46,27.0599,,2,0
,46,27.0599,66,,0
,46,27.0599,66,1,0
,46,27.0599,66,2,0
,46,27.0599,76,,0
,46,27.0599,76,1,0
,46,27.0599,76,2,0
,46,27.0599,86,,0
,46,27.0599,86,1,0
,46,27.0599,86,2,0
,46,27.9999,,,0
,46,27.9999,,1,0
,46,27.9999,,2,0
,46,27.9999,66,,0
,46,27.9999,66,1,0
,46,27.9999,66,2,0
,46,27.9999,76,,0
,46,27.9999,76,1,0
,46,27.9999,76,2,0
,46,27.9999,86,,0
,46,27.9999,86,1,0
,46,27.9999,86,2,0
,46,52.1302,,,0
,46,52.1302,,1,0
,46,52.1302,,2,0
,46,52.1302,66,,0
,46,52.1302,66,1,0
,46,52.1302,66,2,0
,46,52.1302,76,,0
,46,52.1302,76,1,0
,46,52.1302,76,2,0
,46,52.1302,86,,0
,46,52.1302,86,1,0
,46,52.1302,86,2,0
,47,,,,195
,47,,,1,115
,47,,,2,80
,47,,66,,95
,47,,66,1,60
,47,,66,2,35
,47,,76,,60
,47,,76,1,30
,47,,76,2,30
,47,,86,,40
,47,,86,1,25
,47,,86,2,15
,47,26.1102,,,35
,47,26.1102,,1,20
,47,26.1102,,2,15
,47,26.1102,66,,0
,47,26.1102,66,1,0
,47,26.1102,66,2,0
,47,26.1102,76,,20
,47,26.1102,76,1,10
